经号,经名,所属藏经,部类,册别,卷数,作译者,时间
T1404,佛說如意寶總持王經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1405,佛說息除賊難陀羅尼經,大正藏,密教部類,21,1卷,宋 法賢譯,宋960~1279
T1406,佛說辟除賊害呪經,大正藏,密教部類,21,1卷,,
T1407,佛說辟除諸惡陀羅尼經,大正藏,密教部類,21,1卷,宋 法賢譯,宋960~1279
T1408,佛說最上意陀羅尼經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1409,佛說聖最勝陀羅尼經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1410,佛說勝幡瓔珞陀羅尼經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1411,佛說蓮華眼陀羅尼經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1412,佛說寶生陀羅尼經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1413,佛說尊勝大明王經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1414,佛說金身陀羅尼經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1415,大金剛妙高山樓閣陀羅尼,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1416,金剛摧碎陀羅尼,大正藏,密教部類,21,1卷,宋 慈賢譯,宋960~1279
T1417,佛說壞相金剛陀羅尼經,大正藏,密教部類,21,1卷,元 沙囉巴譯,元1271~1368
T1418,佛說一切如來安像三昧儀軌經,大正藏,密教部類,21,1卷,宋 施護譯,宋960~1279
T1419,佛說造像量度經解,大正藏,密教部類,21,1卷,清 工布查布譯解,清1644~1911
T1420,龍樹五明論,大正藏,密教部類,21,2卷,,
T1421,彌沙塞部和醯五分律,大正藏,律部類,22,30卷,劉宋 佛陀什共竺道生等譯,劉宋420~479
T1422a,彌沙塞五分戒本,大正藏,律部類,22,1卷,劉宋 佛陀什等譯,劉宋420~479
T1422b,五分戒本,大正藏,律部類,22,1卷,劉宋 佛陀什等譯,劉宋420~479
T1423,五分比丘尼戒本,大正藏,律部類,22,1卷,梁 明徽集,梁
T1424,彌沙塞羯磨本,大正藏,律部類,22,1卷,唐 愛同錄,唐618~907
T1425,摩訶僧祇律,大正藏,律部類,22,40卷,東晉 佛陀跋陀羅共法顯譯,東晉317~420
T1426,摩訶僧祇律大比丘戒本,大正藏,律部類,22,1卷,東晉 佛陀跋陀羅譯,東晉317~420
T1427,摩訶僧祇比丘尼戒本,大正藏,律部類,22,1卷,東晉 法顯共覺賢譯,東晉317~420
T1428,四分律,大正藏,律部類,22,60卷,姚秦 佛陀耶舍共竺佛念等譯,姚秦
T1429,四分律比丘戒本,大正藏,律部類,22,1卷,後秦 佛陀耶舍譯,後秦
T1430,四分僧戒本,大正藏,律部類,22,1卷,後秦 佛陀耶舍譯,後秦
T1431,四分比丘尼戒本,大正藏,律部類,22,1卷,後秦 佛陀耶舍譯,後秦
T1432,曇無德律部雜羯磨,大正藏,律部類,22,1卷,曹魏 康僧鎧譯,曹魏220~265
T1433,羯磨,大正藏,律部類,22,1卷,曹魏 曇諦譯,曹魏220~265
T1434,四分比丘尼羯磨法,大正藏,律部類,22,1卷,劉宋 求那跋摩譯,劉宋420~479
T1435,十誦律,大正藏,律部類,23,61卷,後秦 弗若多羅共羅什譯,後秦
T1436,十誦比丘波羅提木叉戒本,大正藏,律部類,23,1卷,姚秦 鳩摩羅什譯,姚秦
T1437,十誦比丘尼波羅提木叉戒本,大正藏,律部類,23,1卷,劉宋 法顯集出,劉宋420~479
T1438,大沙門百一羯磨法,大正藏,律部類,23,1卷,,
T1439,十誦羯磨比丘要用,大正藏,律部類,23,1卷,劉宋 僧璩撰出,劉宋420~479
T1440,薩婆多毘尼毘婆沙,大正藏,律部類,23,9卷,失譯,
T1441,薩婆多部毘尼摩得勒伽,大正藏,律部類,23,10卷,劉宋 僧伽跋摩譯,劉宋420~479
T1442,根本說一切有部毘奈耶,大正藏,律部類,23,50卷,唐 義淨譯,唐618~907
T1443,根本說一切有部苾芻尼毘奈耶,大正藏,律部類,23,20卷,唐 義淨譯,唐618~907
T1444,根本說一切有部毘奈耶出家事,大正藏,律部類,23,4卷,唐 義淨譯,唐618~907
T1445,根本說一切有部毘奈耶安居事,大正藏,律部類,23,1卷,唐 義淨譯,唐618~907
T1446,根本說一切有部毘奈耶隨意事,大正藏,律部類,23,1卷,唐 義淨譯,唐618~907
T1447,根本說一切有部毘奈耶皮革事,大正藏,律部類,23,2卷,唐 義淨譯,唐618~907
T1448,根本說一切有部毘奈耶藥事,大正藏,律部類,24,18卷,唐 義淨譯,唐618~907
T1449,根本說一切有部毘奈耶羯恥那衣事,大正藏,律部類,24,1卷,唐 義淨譯,唐618~907
T1450,根本說一切有部毘奈耶破僧事,大正藏,律部類,24,20卷,唐 義淨譯,唐618~907
T1451,根本說一切有部毘奈耶雜事,大正藏,律部類,24,40卷,唐 義淨譯,唐618~907
T1452,根本說一切有部尼陀那目得迦,大正藏,律部類,24,10卷,唐 義淨譯,唐618~907
T1453,根本說一切有部百一羯磨,大正藏,律部類,24,10卷,唐 義淨譯,唐618~907
T1454,根本說一切有部戒經,大正藏,律部類,24,1卷,唐 義淨譯,唐618~907
T1455,根本說一切有部苾芻尼戒經,大正藏,律部類,24,1卷,唐 義淨譯,唐618~907
T1456,根本說一切有部毘奈耶尼陀那目得迦攝頌,大正藏,律部類,24,1卷,唐 義淨譯,唐618~907
T1457,根本說一切有部略毘奈耶雜事攝頌,大正藏,律部類,24,1卷,唐 義淨譯,唐618~907
T1458,根本薩婆多部律攝,大正藏,律部類,24,14卷,尊者勝友造  唐 義淨譯,
T1459,根本說一切有部毘奈耶頌,大正藏,律部類,24,3卷,尊者毘舍佉造  唐 義淨譯,
T1460,解脫戒經,大正藏,律部類,24,1卷,元魏 般若流支譯,元魏
T1461,律二十二明了論,大正藏,律部類,24,1卷,弗陀多羅多造  陳 真諦譯,
T1462,善見律毘婆沙,大正藏,律部類,24,18卷,蕭齊 僧伽跋陀羅譯,蕭齊
T1463,毘尼母經,大正藏,律部類,24,8卷,失譯,
T1464,鼻奈耶,大正藏,律部類,24,10卷,姚秦 竺佛念譯,姚秦
T1465,舍利弗問經,大正藏,律部類,24,1卷,失譯,
T1466,優波離問佛經,大正藏,律部類,24,1卷,宋 求那跋摩譯,宋960~1279
T1467a,佛說犯戒罪報輕重經,大正藏,律部類,24,1卷,後漢 安世高譯,後漢947~951
T1467b,佛說犯戒罪報輕重經,大正藏,律部類,24,1卷,,
T1468,佛說目連所問經,大正藏,律部類,24,1卷,宋 法天譯,宋960~1279
T1469,佛說迦葉禁戒經,大正藏,律部類,24,1卷,宋 沮渠京聲譯,宋960~1279
T1470,大比丘三千威儀,大正藏,律部類,24,2卷,後漢 安世高譯,後漢947~951
T1471,沙彌十戒法并威儀,大正藏,律部類,24,1卷,失譯,
T1472,沙彌威儀,大正藏,律部類,24,1卷,宋 求那跋摩譯,宋960~1279
T1473,佛說沙彌十戒儀則經,大正藏,律部類,24,1卷,宋 施護譯,宋960~1279
T1474,沙彌尼戒經,大正藏,律部類,24,1卷,失譯,
T1475,沙彌尼離戒文,大正藏,律部類,24,1卷,失譯,
T1476,佛說優婆塞五戒相經,大正藏,律部類,24,1卷,宋 求那跋摩譯,宋960~1279
T1477,佛說戒消災經,大正藏,律部類,24,1卷,吳 支謙譯,吳229~280
T1478,大愛道比丘尼經,大正藏,律部類,24,2卷,失譯,
T1479,佛說苾芻五法經,大正藏,律部類,24,1卷,宋 法天譯,宋960~1279
T1480,佛說苾芻迦尸迦十法經,大正藏,律部類,24,1卷,宋 法天譯,宋960~1279
T1481,佛說五恐怖世經,大正藏,律部類,24,1卷,宋 沮渠京聲譯,宋960~1279
T1482,佛阿毘曇經出家相品,大正藏,律部類,24,2卷,陳 真諦譯,陳557~589
T1483a,佛說目連問戒律中五百輕重事,大正藏,律部類,24,1卷,失譯,
T1483b,佛說目連問戒律中五百輕重事經,大正藏,律部類,24,2卷,失譯,
T1484,梵網經,大正藏,律部類,24,2卷,後秦 鳩摩羅什譯,後秦
T1485,菩薩瓔珞本業經,大正藏,律部類,24,2卷,姚秦 竺佛念譯,姚秦
T1486,受十善戒經,大正藏,律部類,24,1卷,失譯,
T1487,佛說菩薩內戒經,大正藏,律部類,24,1卷,宋 求那跋摩譯,宋960~1279
T1488,優婆塞戒經,大正藏,律部類,24,7卷,北涼 曇無讖譯,北涼397~460
T1489,清淨毘尼方廣經,大正藏,律部類,24,1卷,後秦 鳩摩羅什譯,後秦
T1490,寂調音所問經,大正藏,律部類,24,1卷,宋 法海譯,宋960~1279
T1491,菩薩藏經,大正藏,律部類,24,1卷,梁 僧伽婆羅譯,梁
T1492,佛說舍利弗悔過經,大正藏,律部類,24,1卷,後漢 安世高譯,後漢947~951
T1493,大乘三聚懺悔經,大正藏,律部類,24,1卷,隋 闍那崛多共笈多等譯,隋581~618
T1494,佛說淨業障經,大正藏,律部類,24,1卷,失譯,
T1495,善恭敬經,大正藏,律部類,24,1卷,隋 闍那崛多譯,隋581~618
T1496,佛說正恭敬經,大正藏,律部類,24,1卷,元魏 佛陀扇多譯,元魏
T1497,佛說大乘戒經,大正藏,律部類,24,1卷,宋 施護譯,宋960~1279
T1498,佛說八種長養功德經,大正藏,律部類,24,1卷,宋 法護等譯,宋960~1279
T1499,菩薩戒羯磨文,大正藏,律部類,24,1卷,彌勒菩薩說  唐 玄奘譯,
T1500,菩薩戒本,大正藏,律部類,24,1卷,慈氏菩薩說  北涼 曇無讖譯,
T1501,菩薩戒本,大正藏,律部類,24,1卷,彌勒菩薩說  唐 玄奘譯,
T1502,菩薩受齋經,大正藏,律部類,24,1卷,西晉 聶道真譯,西晉265~316
T1503,優婆塞五戒威儀經,大正藏,律部類,24,1卷,宋 求那跋摩譯,宋960~1279
T1504,菩薩五法懺悔文,大正藏,律部類,24,1卷,失譯,
T1505,四阿鋡暮抄解,大正藏,阿含部類,25,2卷,婆素跋陀造  符秦 鳩摩羅佛提等譯,
T1506,三法度論,大正藏,阿含部類,25,3卷,東晉 僧伽提婆譯,東晉317~420
T1507,分別功德論,大正藏,阿含部類,25,5卷,失譯附後漢錄,
T1508,阿含口解十二因緣經,大正藏,阿含部類,25,1卷,後漢 安玄共嚴佛調譯,後漢947~951
T1509,大智度論,大正藏,般若部類,25,100卷,龍樹菩薩造  後秦 鳩摩羅什譯,
T1510a,金剛般若論,大正藏,般若部類,25,2卷,無著菩薩造  隋 達磨笈多譯,
T1510b,金剛般若波羅蜜經論,大正藏,般若部類,25,3卷,無著菩薩造  隋 達磨笈多譯,
T1511,金剛般若波羅蜜經論,大正藏,般若部類,25,3卷,天親菩薩造  元魏 菩提流支譯,
T1512,金剛仙論,大正藏,般若部類,25,10卷,世親菩薩造  金剛仙論師釋  元魏 菩提流支譯,
T1513,能斷金剛般若波羅蜜多經論釋,大正藏,般若部類,25,3卷,無著菩薩造頌  世親菩薩釋  唐 義淨譯,
T1514,能斷金剛般若波羅蜜多經論頌,大正藏,般若部類,25,1卷,無著菩薩造  唐 義淨譯,
T1515,金剛般若波羅蜜經破取著不壞假名論,大正藏,般若部類,25,2卷,功德施菩薩造  唐 地婆訶羅等譯,
T1516,聖佛母般若波羅蜜多九頌精義論,大正藏,般若部類,25,2卷,勝德赤衣菩薩造  宋 法護等譯,
T1517,佛母般若波羅蜜多圓集要義釋論,大正藏,般若部類,25,4卷,三寶尊菩薩造  大域龍菩薩造本論  宋 施護等譯,
T1518,佛母般若波羅蜜多圓集要義論,大正藏,般若部類,25,1卷,大域龍菩薩造  宋 施護等譯,
T1519,妙法蓮華經憂波提舍,大正藏,法華部類,26,2卷,大乘論師婆藪槃豆釋  後魏 菩提留支共曇林等譯,
T1520,妙法蓮華經論優波提舍,大正藏,法華部類,26,1卷,婆藪般豆菩薩造  元魏 勒那摩提共僧朗等譯,
T1521,十住毘婆沙論,大正藏,華嚴部類,26,17卷,聖者龍樹造  後秦 鳩摩羅什譯,
T1522,十地經論,大正藏,華嚴部類,26,12卷,天親菩薩造  後魏 菩提流支等譯,
T1523,大寶積經論,大正藏,寶積部類,26,4卷,後魏 菩提流支譯,後魏
T1524,無量壽經優波提舍,大正藏,"寶積部類,淨土宗部類",26,1卷,婆藪槃豆菩薩造  元魏 菩提流支譯,
T1525,彌勒菩薩所問經論,大正藏,寶積部類,26,9卷,後魏 菩提流支譯,後魏
T1526,寶髻經四法憂波提舍,大正藏,大集部類,26,1卷,天親菩薩造  元魏 毘目智仙譯,
T1527,涅槃論,大正藏,涅槃部類,26,1卷,婆藪槃豆作  元魏 達磨菩提譯,
T1528,涅槃經本有今無偈論,大正藏,涅槃部類,26,1卷,天親菩薩造  陳 真諦譯,
T1529,遺教經論,大正藏,涅槃部類,26,1卷,天親菩薩造  陳 真諦譯,
T1530,佛地經論,大正藏,經集部類,26,7卷,親光菩薩等造  唐 玄奘譯,
T1531,文殊師利菩薩問菩提經論,大正藏,經集部類,26,2卷,天親菩薩造  元魏 菩提流支譯,
T1532,勝思惟梵天所問經論,大正藏,經集部類,26,4卷,天親菩薩造  後魏 菩提流支譯,
T1533,轉法輪經憂波提舍,大正藏,經集部類,26,1卷,天親菩薩造  元魏 毘目智仙譯,
T1534,三具足經憂波提舍,大正藏,經集部類,26,1卷,元魏 毘目智仙譯,元魏
T1535,大乘四法經釋,大正藏,經集部類,26,1卷,,
T1536,阿毘達磨集異門足論,大正藏,毘曇部類,26,20卷,尊者舍利子說  唐 玄奘譯,
T1537,阿毘達磨法蘊足論,大正藏,毘曇部類,26,12卷,尊者大目乾連造  唐 玄奘譯,
T1538,施設論,大正藏,毘曇部類,26,7卷,宋 法護等譯,宋960~1279
T1539,阿毘達磨識身足論,大正藏,毘曇部類,26,16卷,提婆設摩造  唐 玄奘譯,
T1540,阿毘達磨界身足論,大正藏,毘曇部類,26,3卷,尊者世友造  唐 玄奘譯,
T1541,眾事分阿毘曇論,大正藏,毘曇部類,26,12卷,尊者世友造  宋 求那跋陀羅共菩提耶舍譯,
T1542,阿毘達磨品類足論,大正藏,毘曇部類,26,18卷,尊者世友造  唐 玄奘譯,
T1543,阿毘曇八犍度論,大正藏,毘曇部類,26,30卷,迦栴延子造  符秦 僧伽提婆共竺佛念譯,
T1544,阿毘達磨發智論,大正藏,毘曇部類,26,20卷,迦多衍尼子造  唐 玄奘譯,
T1545,阿毘達磨大毘婆沙論,大正藏,毘曇部類,27,200卷,五百大阿羅漢等造  唐 玄奘譯,
T1546,阿毘曇毘婆沙論,大正藏,毘曇部類,28,60卷,迦旃延子造  五百羅漢釋  北涼 浮陀跋摩共道泰等譯,
T1547,鞞婆沙論,大正藏,毘曇部類,28,14卷,尸陀槃尼撰  符秦 僧伽跋澄譯,
T1548,舍利弗阿毘曇論,大正藏,毘曇部類,28,30卷,姚秦 曇摩耶舍共曇摩崛多等譯,姚秦
T1549,尊婆須蜜菩薩所集論,大正藏,毘曇部類,28,10卷,尊婆須蜜造  符秦 僧伽跋澄等譯,
T1550,阿毘曇心論,大正藏,毘曇部類,28,4卷,尊者法勝造  晉 僧迦提婆共慧遠等譯,
T1551,阿毘曇心論經,大正藏,毘曇部類,28,6卷,法勝論  優波扇多釋  高齊 那連提耶舍譯,
T1552,雜阿毘曇心論,大正藏,毘曇部類,28,11卷,尊者法救造  宋 僧伽跋摩等譯,
T1553,阿毘曇甘露味論,大正藏,毘曇部類,28,2卷,尊者瞿沙造  失譯,
T1554,入阿毘達磨論,大正藏,毘曇部類,28,2卷,塞建陀羅造  唐 玄奘譯,
T1555,五事毘婆沙論,大正藏,毘曇部類,28,2卷,尊者法救造  唐 玄奘譯,
T1556,薩婆多宗五事論,大正藏,毘曇部類,28,1卷,唐 法成譯,唐618~907
T1557,阿毘曇五法行經,大正藏,毘曇部類,28,1卷,後漢 安世高譯,後漢947~951
T1558,阿毘達磨俱舍論,大正藏,毘曇部類,29,30卷,尊者世親造  唐 玄奘譯,
T1559,阿毘達磨俱舍釋論,大正藏,毘曇部類,29,22卷,婆藪盤豆造  陳 真諦譯,
T1560,阿毘達磨俱舍論本頌,大正藏,毘曇部類,29,1卷,世親菩薩造  唐 玄奘譯,
T1561,俱舍論實義疏,大正藏,毘曇部類,29,5卷,尊者安惠造,
T1562,阿毘達磨順正理論,大正藏,毘曇部類,29,80卷,尊者眾賢造  唐 玄奘譯,
T1563,阿毘達磨藏顯宗論,大正藏,毘曇部類,29,40卷,尊者眾賢造  唐 玄奘譯,
T1564,中論,大正藏,中觀部類,30,4卷,龍樹菩薩造  梵志青目釋  姚秦 鳩摩羅什譯,
T1565,順中論,大正藏,中觀部類,30,2卷,龍樹菩薩造  無著菩薩釋  元魏 瞿曇般若流支譯,
T1566,般若燈論釋,大正藏,中觀部類,30,15卷,偈本龍樹菩薩  釋論分別明菩薩  唐 波羅頗蜜多羅譯,
T1567,大乘中觀釋論,大正藏,中觀部類,30,9卷,安慧菩薩造  宋 惟淨等譯,
T1568,十二門論,大正藏,中觀部類,30,1卷,龍樹菩薩造  姚秦 鳩摩羅什譯,
T1569,百論,大正藏,中觀部類,30,2卷,提婆菩薩造  婆藪開士釋  姚秦 鳩摩羅什譯,
T1570,廣百論本,大正藏,中觀部類,30,1卷,聖天菩薩造  唐 玄奘譯,
T1571,大乘廣百論釋論,大正藏,中觀部類,30,10卷,聖天菩薩本  護法菩薩釋  唐 玄奘譯,
T1572,百字論,大正藏,中觀部類,30,1卷,提婆菩薩造  後魏 菩提流支譯,
T1573,壹輸盧迦論,大正藏,中觀部類,30,1卷,龍樹菩薩造  後魏 瞿曇般若留支譯,
T1574,大乘破有論,大正藏,中觀部類,30,1卷,龍樹菩薩造  宋 施護譯,
T1575,六十頌如理論,大正藏,中觀部類,30,1卷,龍樹菩薩造  宋 施護譯,
T1576,大乘二十頌論,大正藏,中觀部類,30,1卷,龍樹菩薩造  宋 施護譯,
T1577,大丈夫論,大正藏,中觀部類,30,2卷,提婆羅菩薩造  北涼 道泰譯,
T1578,大乘掌珍論,大正藏,中觀部類,30,2卷,清辯菩薩造  唐 玄奘譯,
T1579,瑜伽師地論,大正藏,瑜伽部類,30,100卷,彌勒菩薩說  唐 玄奘譯,
T1580,瑜伽師地論釋,大正藏,瑜伽部類,30,1卷,最勝子等造  唐 玄奘譯,
T1581,菩薩地持經,大正藏,瑜伽部類,30,10卷,北涼 曇無讖譯,北涼397~460
T1582,菩薩善戒經,大正藏,瑜伽部類,30,9卷,劉宋 求那跋摩譯,劉宋420~479
T1583,菩薩善戒經,大正藏,瑜伽部類,30,1卷,劉宋 求那跋摩譯,劉宋420~479
T1584,決定藏論,大正藏,瑜伽部類,30,3卷,梁 真諦譯,梁
T1585,成唯識論,大正藏,瑜伽部類,31,10卷,護法等菩薩造  唐 玄奘譯,
T1586,唯識三十論頌,大正藏,瑜伽部類,31,1卷,世親菩薩造  唐 玄奘譯,
T1587,轉識論,大正藏,瑜伽部類,31,1卷,陳 真諦譯,陳557~589
T1588,唯識論,大正藏,瑜伽部類,31,1卷,天親菩薩造  後魏 瞿曇般若流支譯,
T1589,大乘唯識論,大正藏,瑜伽部類,31,1卷,天親菩薩造  陳 真諦譯,
T1590,唯識二十論,大正藏,瑜伽部類,31,1卷,世親菩薩造  唐 玄奘譯,
T1591,成唯識寶生論,大正藏,瑜伽部類,31,5卷,護法菩薩造  唐 義淨譯,
T1592,攝大乘論,大正藏,瑜伽部類,31,2卷,阿僧伽作  後魏 佛陀扇多譯,
T1593,攝大乘論,大正藏,瑜伽部類,31,3卷,無著菩薩造  陳 真諦譯,
T1594,攝大乘論本,大正藏,瑜伽部類,31,3卷,無著菩薩造  唐 玄奘譯,
T1595,攝大乘論釋,大正藏,瑜伽部類,31,15卷,世親菩薩釋  陳 真諦譯,
T1596,攝大乘論釋論,大正藏,瑜伽部類,31,10卷,世親菩薩造  隋 笈多共行矩等譯,
T1597,攝大乘論釋,大正藏,瑜伽部類,31,10卷,世親菩薩造  唐 玄奘譯,
T1598,攝大乘論釋,大正藏,瑜伽部類,31,10卷,無性菩薩造  唐 玄奘譯,
T1599,中邊分別論,大正藏,瑜伽部類,31,2卷,天親菩薩造  陳 真諦譯,
T1600,辯中邊論,大正藏,瑜伽部類,31,3卷,世親菩薩造  唐 玄奘譯,
T1601,辯中邊論頌,大正藏,瑜伽部類,31,1卷,彌勒菩薩說  唐 玄奘譯,
T1602,顯揚聖教論,大正藏,瑜伽部類,31,20卷,無著菩薩造  唐 玄奘譯,
T1603,顯揚聖教論頌,大正藏,瑜伽部類,31,1卷,無著菩薩造  唐 玄奘譯,
T1604,大乘莊嚴經論,大正藏,瑜伽部類,31,13卷,無著菩薩造  唐 波羅頗蜜多羅譯,
T1605,大乘阿毘達磨集論,大正藏,瑜伽部類,31,7卷,無著菩薩造  唐 玄奘譯,
T1606,大乘阿毘達磨雜集論,大正藏,瑜伽部類,31,16卷,安慧菩薩糅  唐 玄奘譯,
T1607,六門教授習定論,大正藏,瑜伽部類,31,1卷,無著本  世親釋  唐 義淨譯,
T1608,業成就論,大正藏,瑜伽部類,31,1卷,天親菩薩造  元魏 毘目智仙譯,
T1609,大乘成業論,大正藏,瑜伽部類,31,1卷,世親菩薩造  唐 玄奘譯,
T1610,佛性論,大正藏,瑜伽部類,31,4卷,天親菩薩造  陳 真諦譯,
T1611,究竟一乘寶性論,大正藏,瑜伽部類,31,4卷,後魏 勒那摩提譯,後魏
T1612,大乘五蘊論,大正藏,瑜伽部類,31,1卷,世親菩薩造  唐 玄奘譯,
T1613,大乘廣五蘊論,大正藏,瑜伽部類,31,1卷,安慧菩薩造  唐 地婆訶羅譯,
T1614,大乘百法明門論,大正藏,瑜伽部類,31,1卷,天親菩薩造  唐 玄奘譯,
T1615,王法正理論,大正藏,瑜伽部類,31,1卷,彌勒菩薩造  唐 玄奘譯,
T1616,十八空論,大正藏,瑜伽部類,31,1卷,龍樹菩薩造  陳 真諦譯,
T1617,三無性論,大正藏,瑜伽部類,31,2卷,陳 真諦譯,陳557~589
T1618,顯識論,大正藏,瑜伽部類,31,1卷,陳 真諦譯,陳557~589
T1619,無相思塵論,大正藏,瑜伽部類,31,1卷,陳那菩薩造  陳 真諦譯,
T1620,解捲論,大正藏,瑜伽部類,31,1卷,陳那菩薩造  陳 真諦譯,
T1621,掌中論,大正藏,瑜伽部類,31,1卷,陳那菩薩造  唐 義淨譯,
T1622,取因假設論,大正藏,瑜伽部類,31,1卷,陳那菩薩造  唐 義淨譯,
T1623,觀總相論頌,大正藏,瑜伽部類,31,1卷,陳那菩薩造  唐 義淨譯,
T1624,觀所緣緣論,大正藏,瑜伽部類,31,1卷,陳那菩薩造  唐 玄奘譯,
T1625,觀所緣論釋,大正藏,瑜伽部類,31,1卷,護法菩薩造  唐 義淨譯,
T1626,大乘法界無差別論,大正藏,瑜伽部類,31,1卷,堅慧菩薩造  唐 提雲般若等譯,
T1627,大乘法界無差別論,大正藏,瑜伽部類,31,1卷,堅慧菩薩造  唐 提雲般若譯,
T1628,因明正理門論本,大正藏,論集部類,32,1卷,大域龍菩薩造  唐 玄奘譯,
T1629,因明正理門論,大正藏,論集部類,32,1卷,大域龍菩薩造  唐 義淨譯,
T1630,因明入正理論,大正藏,論集部類,32,1卷,南羯羅主菩薩造  唐 玄奘譯,
T1631,迴諍論,大正藏,論集部類,32,1卷,龍樹菩薩造  後魏 毘目智仙共瞿曇流支譯,
T1632,方便心論,大正藏,論集部類,32,1卷,後魏 吉迦夜譯,後魏
T1633,如實論,大正藏,論集部類,32,1卷,陳 真諦譯,陳557~589
T1634,入大乘論,大正藏,論集部類,32,2卷,堅意菩薩造  北涼 道泰等譯,
T1635,大乘寶要義論,大正藏,論集部類,32,10卷,宋 法護等譯,宋960~1279
T1636,大乘集菩薩學論,大正藏,論集部類,32,25卷,法稱菩薩造  宋 法護等譯,
T1637,集大乘相論,大正藏,論集部類,32,2卷,覺吉祥智菩薩造  宋 施護譯,
T1638,集諸法寶最上義論,大正藏,論集部類,32,2卷,善寂菩薩造  宋 施護譯,
T1639,提婆菩薩破楞伽經中外道小乘四宗論,大正藏,論集部類,32,1卷,提波菩薩造  後魏 菩提流支譯,
T1640,提婆菩薩釋楞伽經中外道小乘涅槃論,大正藏,論集部類,32,1卷,提波菩薩造  後魏 菩提流支譯,
T1641,隨相論,大正藏,論集部類,32,1卷,德慧法師造  陳 真諦譯,
T1642,金剛針論,大正藏,論集部類,32,1卷,法稱菩薩造  宋 法天譯,
T1643,尼乾子問無我義經,大正藏,論集部類,32,1卷,馬鳴菩薩集  宋 日稱譯,
T1644,佛說立世阿毘曇論,大正藏,論集部類,32,10卷,陳 真諦譯,陳557~589
T1645,彰所知論,大正藏,論集部類,32,2卷,發合思巴造  元 沙羅巴譯,
T1646,成實論,大正藏,論集部類,32,16卷,訶梨跋摩造  姚秦 鳩摩羅什譯,
T1647,四諦論,大正藏,論集部類,32,4卷,婆藪跋摩造  陳 真諦譯,
T1648,解脫道論,大正藏,論集部類,32,12卷,優波底沙造  梁 僧伽婆羅譯,
T1649,三彌底部論,大正藏,論集部類,32,3卷,失譯,
T1650,辟支佛因緣論,大正藏,論集部類,32,2卷,失譯,
T1651,十二因緣論,大正藏,論集部類,32,1卷,淨意菩薩造  後魏 菩提流支譯,
T1652,緣生論,大正藏,論集部類,32,1卷,欝楞迦造  隋 達磨笈多譯,
T1653,大乘緣生論,大正藏,論集部類,32,1卷,欝楞迦造  唐 不空譯,
T1654,因緣心論頌因緣心論釋,大正藏,論集部類,32,1卷,猛龍菩薩造,
T1655,止觀門論頌,大正藏,論集部類,32,1卷,世親菩薩造  唐 義淨譯,
T1656,寶行王正論,大正藏,論集部類,32,1卷,陳 真諦譯,陳557~589
T1657,手杖論,大正藏,論集部類,32,1卷,釋迦稱造  唐 義淨譯,
T1658,諸教決定名義論,大正藏,論集部類,32,1卷,慈氏菩薩造  宋 施護譯,
T1659,發菩提心經論,大正藏,論集部類,32,2卷,天親菩薩造  後秦 鳩摩羅什譯,
T1660,菩提資糧論,大正藏,論集部類,32,6卷,龍樹本  自在比丘釋  隋 達磨笈多譯,
T1661,菩提心離相論,大正藏,論集部類,32,1卷,龍樹菩薩造  宋 施護譯,
T1662,菩提行經,大正藏,論集部類,32,4卷,龍樹菩薩集頌  宋 天息災譯,
T1663,菩提心觀釋,大正藏,論集部類,32,1卷,宋 法天譯,宋960~1279
T1664,廣釋菩提心論,大正藏,論集部類,32,4卷,蓮華戒菩薩造  宋 施護譯,
T1665,金剛頂瑜伽中發阿耨多羅三藐三菩提心論,大正藏,論集部類,32,1卷,唐 不空譯,唐618~907
T1666,大乘起信論,大正藏,論集部類,32,1卷,馬鳴菩薩造  梁 真諦譯,
T1667,大乘起信論,大正藏,論集部類,32,2卷,馬鳴菩薩造  唐 實叉難陀譯,
T1668,釋摩訶衍論,大正藏,論集部類,32,10卷,龍樹菩薩造  姚秦 筏提摩多譯,
T1669,大宗地玄文本論,大正藏,論集部類,32,20卷,馬鳴菩薩造  陳 真諦譯,
T1670A,那先比丘經,大正藏,論集部類,32,2卷,失譯,
T1670B,那先比丘經,大正藏,論集部類,32,3卷,失譯,
T1671,福蓋正行所集經,大正藏,論集部類,32,12卷,龍樹菩薩集  宋 日稱等譯,
T1672,龍樹菩薩為禪陀迦王說法要偈,大正藏,論集部類,32,1卷,宋 求那跋摩譯,宋960~1279
T1673,勸發諸王要偈,大正藏,論集部類,32,1卷,龍樹菩薩撰  宋 僧伽跋摩譯,
T1674,龍樹菩薩勸誡王頌,大正藏,論集部類,32,1卷,唐 義淨譯,唐618~907
T1675,讚法界頌,大正藏,論集部類,32,1卷,龍樹菩薩造  宋 施護譯,
